player_total,dealer_upcard,optimal_decision
20,2,Stand
20,3,Stand
20,4,Stand
20,5,Stand
20,6,Stand
20,7,Stand
20,8,Stand
20,9,Stand
20,10,Stand
20,J,Stand
20,Q,Stand
20,K,Stand
20,A,Stand
19,2,Stand
19,3,Stand
19,4,Stand
19,5,Stand
19,6,Stand
19,7,Stand
19,8,Stand
19,9,Stand
19,10,Stand
19,J,Stand
19,Q,Stand
19,K,Stand
19,A,Stand
18,2,Stand
18,3,Stand
18,4,Stand
18,5,Stand
18,6,Stand
18,7,Stand
18,8,Stand
18,9,Stand
18,10,Stand
18,J,Stand
18,Q,Stand
18,K,Stand
18,A,Stand
17,2,Stand
17,3,Stand
17,4,Stand
17,5,Stand
17,6,Stand
17,7,Stand
17,8,Stand
17,9,Stand
17,10,Stand
17,J,Stand
17,Q,Stand
17,K,Stand
17,A,Stand
16,2,Stand
16,3,Stand
16,4,Stand
16,5,Stand
16,6,Stand
16,7,Hit
16,8,Hit
16,9,Surrender
16,10,Surrender
16,J,Surrender
16,Q,Surrender
16,K,Surrender
16,A,Surrender
15,2,Stand
15,3,Stand
15,4,Stand
15,5,Stand
15,6,Stand
15,7,Hit
15,8,Hit
15,9,Hit
15,10,Surrender
15,J,Surrender
15,Q,Surrender
15,K,Surrender
15,A,Hit
14,2,Stand
14,3,Stand
14,4,Stand
14,5,Stand
14,6,Stand
14,7,Hit
14,8,Hit
14,9,Hit
14,10,Hit
14,J,Hit
14,Q,Hit
14,K,Hit
14,A,Hit
13,2,Stand
13,3,Stand
13,4,Stand
13,5,Stand
13,6,Stand
13,7,Hit
13,8,Hit
13,9,Hit
13,10,Hit
13,J,Hit
13,Q,Hit
13,K,Hit
13,A,Hit
12,2,Hit
12,3,Hit
12,4,Stand
12,5,Stand
12,6,Stand
12,7,Hit
12,8,Hit
12,9,Hit
12,10,Hit
12,J,Hit
12,Q,Hit
12,K,Hit
12,A,Hit
11,2,Double
11,3,Double
11,4,Double
11,5,Double
11,6,Double
11,7,Double
11,8,Double
11,9,Double
11,10,Double
11,J,Double
11,Q,Double
11,K,Double
11,A,Double
10,2,Double
10,3,Double
10,4,Double
10,5,Double
10,6,Double
10,7,Double
10,8,Double
10,9,Double
10,10,Hit
10,J,Hit
10,Q,Hit
10,K,Hit
10,A,Hit
9,2,Hit
9,3,Double
9,4,Double
9,5,Double
9,6,Double
9,7,Hit
9,8,Hit
9,9,Hit
9,10,Hit
9,J,Hit
9,Q,Hit
9,K,Hit
9,A,Hit
8,2,Hit
8,3,Hit
8,4,Hit
8,5,Hit
8,6,Hit
8,7,Hit
8,8,Hit
8,9,Hit
8,10,Hit
8,J,Hit
8,Q,Hit
8,K,Hit
8,A,Hit
7,2,Hit
7,3,Hit
7,4,Hit
7,5,Hit
7,6,Hit
7,7,Hit
7,8,Hit
7,9,Hit
7,10,Hit
7,J,Hit
7,Q,Hit
7,K,Hit
7,A,Hit
6,2,Hit
6,3,Hit
6,4,Hit
6,5,Hit
6,6,Hit
6,7,Hit
6,8,Hit
6,9,Hit
6,10,Hit
6,J,Hit
6,Q,Hit
6,K,Hit
6,A,Hit
5,2,Hit
5,3,Hit
5,4,Hit
5,5,Hit
5,6,Hit
5,7,Hit
5,8,Hit
5,9,Hit
5,10,Hit
5,J,Hit
5,Q,Hit
5,K,Hit
5,A,Hit